id,user1,listPV,user2,listArea,user3,listBudget,user4,listRoom,user5,listSquare,user6,listAge,user7,listTag,user8,detail,user9,appointment,agent,listPV0,listArea0,listBudget0,listRoom0,listSquare0,listAge0,listTag0,detail0,appointment0,tag
66,684607,1,2106331,1,2824524,1,2727174,2,2490967,3,3096066,2,2582437,2,728695,4,1959599,1,3114498,0,0,0,0,0,0,0,0,0,0
67,689594,4,2115234,1,2827728,1,2731853,4,2502674,7,3096578,2,2584188,19,734906,4,1967991,1,3114318,0,0,0,0,0,0,0,0,0,0
68,697252,17,2119108,2,2833249,3,2732634,5,2508904,3,3103730,2,2592220,1,735417,23,1971731,2,3114316,0,0,0,0,0,0,0,0,0,0
69,718847,14,2122261,7,2867747,5,2746781,1,2530171,1,3104359,1,2602954,1,751869,2,1972658,3,3113560,0,0,0,0,0,0,0,0,0,0
70,728695,4,2145453,2,2918717,5,2752236,2,2556297,3,3104782,1,2615422,2,753550,18,1973288,2,3113247,0,0,0,0,0,0,0,0,0,0
71,734906,13,2146884,4,2966375,1,2783579,1,2562449,2,3107986,2,2623164,2,754672,6,1973687,1,3112154,0,0,0,0,0,0,0,0,0,0
72,735417,2,2170999,2,2967329,1,2796664,1,2563203,2,3108409,5,2624122,9,755913,4,1977223,1,3112038,0,0,0,0,0,0,0,0,0,0
73,737261,1,2177528,2,2975481,3,2812332,1,2565883,2,3110987,1,2635522,10,756150,2,1985514,1,3112013,0,0,0,0,0,0,0,0,0,0
74,747750,2,2179411,1,2977166,1,2824524,1,2566027,1,3112228,12,2643122,7,760539,10,1987433,3,3109105,0,0,0,0,0,0,0,0,0,0
75,753550,7,2187130,6,2982479,2,2826085,1,2581500,1,3112329,1,2650826,1,762754,6,1991852,1,3106275,0,0,0,0,0,0,0,0,0,0
76,754672,6,2201285,1,2999311,4,2828437,1,2586728,2,3113471,1,2659112,1,766048,3,1996902,2,3103251,0,0,0,0,0,0,0,0,0,0
77,756150,2,2207124,1,2999365,2,2833249,2,2590600,5,3113838,1,2678610,6,769039,56,2007156,2,3103081,0,0,0,0,0,0,0,0,0,0
78,757435,8,2271864,2,3015824,1,2855420,1,2596529,1,3113864,1,2689091,1,785438,2,2007364,2,3099808,0,0,0,0,0,0,0,0,0,0
79,760539,27,2284392,1,3023036,1,2856196,1,2607190,2,3114600,4,2689932,3,796768,9,2009183,1,3099629,0,0,0,0,0,0,0,0,0,0
80,767441,2,2301554,9,3031509,1,2856802,1,2611641,1,3116108,2,2707852,1,803308,2,2014296,1,3099595,0,0,0,0,0,0,0,0,0,0
81,796768,5,2325150,5,3046666,1,2867747,1,2620403,2,3116817,2,2718785,6,806725,2,2015867,1,3098076,0,0,0,0,0,0,0,0,0,0
82,817457,3,2334476,1,3047960,2,2918717,6,2630918,1,3118148,2,2718932,1,824699,4,2028183,2,3098022,0,0,0,0,0,0,0,0,0,0
83,824699,4,2362284,1,3050579,3,2922345,1,2635522,4,3118735,1,2720205,10,827201,4,2038856,8,3097548,0,0,0,0,0,0,0,0,0,0
84,843079,1,2367603,3,3052382,1,2952584,1,2636132,2,3119854,1,2723254,7,847295,26,2042609,2,3096910,0,0,0,0,0,0,0,0,0,0
85,847295,2,2372724,2,3054989,1,2960459,1,2639559,3,3120274,1,2726701,9,859706,3,2042948,2,3096135,0,0,0,0,0,0,0,0,0,0
86,851806,14,2373054,2,3057742,1,2966375,1,2641709,2,3120647,1,2727299,1,865197,8,2043734,2,3096017,0,0,0,0,0,0,0,0,0,0
87,865197,1,2396601,4,3058747,1,2975481,1,2650826,1,3120823,12,2732634,3,868035,22,2049105,1,3095848,0,0,0,0,0,0,0,0,0,0
88,865541,1,2427679,1,3067542,4,2975562,1,2663101,1,3121674,1,2736031,1,874848,15,2064098,1,3095801,0,0,0,0,0,0,0,0,0,0
89,868035,80,2433957,5,3068252,2,2992637,2,2681800,3,3123447,1,2736552,2,879333,28,2080827,1,3094885,0,0,0,0,0,0,0,0,0,0
90,874848,3,2436941,2,3072667,1,2999311,2,2689130,2,3123996,1,2743754,1,885630,12,2082476,2,3094584,0,0,0,0,0,0,0,0,0,0
91,879333,4,2444429,1,3076312,1,2999365,2,2689932,2,3124826,4,2749718,1,892844,16,2106331,2,3094323,0,0,0,0,0,0,0,0,0,0
92,885630,1,2453774,1,3077118,1,3018005,1,2714816,1,3125752,1,2752236,5,895088,3,2107593,2,3093387,0,0,0,0,0,0,0,0,0,0
93,903970,27,2494807,2,3085737,4,3022727,2,2718785,1,3126002,2,2756008,3,903970,62,2108305,1,3092953,0,0,0,0,0,0,0,0,0,0
94,906187,1,2508722,1,3089766,1,3024470,6,2722862,2,3126517,3,2760847,1,918804,9,2109807,2,3092937,0,0,0,0,0,0,0,0,0,0
95,939891,77,2522552,1,3092344,1,3026985,7,2726701,1,3127263,2,2771553,2,927495,2,2116208,1,3090605,0,0,0,0,0,0,0,0,0,0
96,940943,33,2525618,4,3094489,6,3028819,2,2727625,2,3127456,1,2780370,1,936577,4,2117961,1,3090321,0,0,0,0,0,0,0,0,0,0
97,943484,3,2526177,1,3099085,1,3046666,2,2749718,1,3127883,4,2783792,4,939891,148,2119108,3,3090305,0,0,0,0,0,0,0,0,0,0
98,944631,164,2532265,2,3100987,1,3050579,2,2751260,7,3128563,2,2786979,1,940943,24,2121575,5,3090214,0,0,0,0,0,0,0,0,0,0
99,947604,1,2539583,2,3110422,1,3052382,1,2752236,3,3131688,1,2793377,1,943484,6,2121646,2,3089437,0,0,0,0,0,0,0,0,0,0
100,951490,1,2540282,1,3114534,2,3052748,1,2752895,1,3131738,1,2796664,8,944631,310,2142866,4,3087365,0,0,0,0,0,0,0,0,0,0
101,951601,1,2551236,1,3115483,3,3054989,1,2760847,1,3132259,1,2816073,2,951490,8,2170999,7,3087350,0,0,0,0,0,0,0,0,0,0
102,966137,3,2574466,5,3117636,5,3057742,2,2765803,3,3132502,1,2821914,4,951601,18,2177528,3,3087031,0,0,0,0,0,0,0,0,0,0
103,968376,2,2576056,4,3118917,2,3057747,1,2782248,2,3133361,1,2844322,3,963103,39,2179411,1,3085832,0,0,0,0,0,0,0,0,0,0
104,970763,1,2584188,8,3122864,1,3059872,2,2783579,2,3133364,1,2856196,1,966137,10,2187130,4,3085768,0,0,0,0,0,0,0,0,0,0
105,976052,10,2585714,2,3125697,1,3065146,1,2785943,1,3135303,2,2856802,7,968376,5,2188578,3,3084471,0,0,0,0,0,0,0,0,0,0
106,980713,3,2590600,1,3126274,1,3067542,1,2796664,2,3135587,2,2864095,1,970763,6,2189836,2,3080369,0,0,0,0,0,0,0,0,0,0
107,989969,9,2592220,11,3126517,1,3068252,5,2802127,5,3135627,1,2884439,2,976052,15,2200842,2,3073793,0,0,0,0,0,0,0,0,0,0
108,991192,2,2596529,2,3127456,1,3073646,1,2802879,7,3135729,1,2894172,1,980713,6,2203500,10,3067206,0,0,0,0,0,0,0,0,0,0
109,997829,2,2600438,2,3132354,1,3073709,1,2803338,3,3135827,1,2919265,6,989969,6,2229239,1,2998408,0,0,0,0,0,0,0,0,0,0
110,998084,4,2606232,1,3133139,1,3076949,1,2804762,1,3136142,1,2929744,19,997829,8,2231024,9,2777030,0,0,0,0,0,0,0,0,0,0
111,1004307,6,2607190,24,3133859,1,3077118,3,2806620,1,3138090,2,2932298,2,998084,21,2232361,1,2774376,0,0,0,0,0,0,0,0,0,0
112,1008250,4,2608522,2,3134724,1,3082374,1,2814345,1,3138120,7,2946356,1,1004307,10,2235482,3,2642942,0,0,0,0,0,0,0,0,0,0
113,1012441,1,2611641,2,3134898,1,3082578,2,2855420,1,3138842,2,2950237,1,1008250,6,2238684,2,2619275,0,0,0,0,0,0,0,0,0,0
114,1019673,9,2613496,2,3135108,4,3083732,1,2856196,1,3139832,1,2955258,2,1019673,18,2253940,7,2457327,0,0,0,0,0,0,0,0,0,0
115,1020325,3,2617991,1,3135109,1,3085737,5,2856802,3,3139901,1,2957300,11,1020325,15,2269050,3,2398060,0,0,0,0,0,0,0,0,0,0
116,1031527,3,2630909,1,3135303,1,3091319,2,2865216,1,3140023,1,2958962,2,1034969,28,2271864,1,2384555,0,0,0,0,0,0,0,0,0,0
117,1034969,2,2636657,12,3135407,3,3092344,1,2867747,2,3140989,1,2960459,4,1038802,3,2283299,2,2238684,0,0,0,0,0,0,0,0,0,0
118,1061619,2,2639559,51,3140948,3,3099671,6,2884439,1,3141000,1,2961144,5,1065358,2,2288430,1,2192657,0,0,0,0,0,0,0,0,0,0
119,1065358,5,2641709,1,3143339,8,3099810,10,2902847,1,3141708,1,2975481,3,1077782,75,2300362,1,1866500,0,0,0,0,0,0,0,0,0,0
120,1077782,3,2643122,6,3146043,20,3102251,3,2905262,3,3141856,1,2987009,3,1081163,32,2311952,6,321516,0,0,0,0,0,0,0,0,0,0
121,1081163,20,2652023,1,3148721,1,3103730,1,2918717,2,3143371,6,3005399,3,1082267,51,2312192,1,222853,0,0,0,0,0,0,0,0,0,0
122,1082267,42,2663101,4,3148914,13,3105794,1,2940630,1,3144924,1,3009749,1,1089477,2,2322972,2,3203060,0,0,0,0,0,0,0,0,0,0
123,1114663,4,2672850,1,3149573,1,3114600,3,2945573,1,3145109,15,3009845,2,1114663,30,2325150,1,3199127,0,0,0,0,0,0,0,0,0,0
124,1121303,3,2678610,1,3149965,6,3115483,2,2950237,1,3145495,1,3010962,1,1121303,6,2329014,5,3198749,0,0,0,0,0,0,0,0,0,0
125,1121636,6,2689805,1,3150527,2,3115734,2,2955258,1,3145840,1,3013216,1,1121636,20,2340100,2,3197648,0,0,0,0,0,0,0,0,0,0
126,1127747,1,2689932,3,3150571,1,3117863,2,2958681,1,3147173,1,3022727,1,1127747,8,2342102,2,3197290,0,0,0,0,0,0,0,0,0,0
127,1136688,2,2711578,4,3150782,1,3118690,2,2958962,2,3148404,5,3026985,4,1136688,4,2351659,1,3196916,0,0,0,0,0,0,0,0,0,0
128,1138732,2,2713067,14,3150822,6,3119854,1,2960770,2,3149573,2,3032082,1,1138732,9,2355989,2,3196798,0,0,0,0,0,0,0,0,0,0
129,1147182,12,2718932,5,3154513,3,3120823,2,2967329,1,3150004,1,3032347,1,1147182,42,2367603,5,3196477,0,0,0,0,0,0,0,0,0,0
130,1170575,2,2722862,1,3157159,1,3121449,1,2975481,1,3150822,1,3038237,4,1152137,3,2368860,2,3195863,0,0,0,0,0,0,0,0,0,0
131,1174227,13,2724426,3,3157188,1,3124401,1,2987424,4,3154177,4,3044915,1,1170575,127,2370860,5,3192366,0,0,0,0,0,0,0,0,0,0
132,1179826,1,2726701,23,3158845,4,3126274,3,2991289,2,3156720,1,3045396,1,1174227,18,2373054,6,3192136,0,0,0,0,0,0,0,0,0,0
133,1180750,3,2727625,1,3159295,1,3126517,7,3009268,1,3157159,2,3045942,2,1180750,2,2384555,4,3192081,0,0,0,0,0,0,0,0,0,0
134,1185075,4,2728724,1,3163375,1,3126865,1,3011876,1,3165114,1,3047243,2,1185075,4,2386583,7,3191986,0,0,0,0,0,0,0,0,0,0
135,1196300,13,2730738,2,3164407,2,3127137,1,3013214,6,3166280,1,3052382,2,1196300,31,2397340,19,3188582,0,0,0,0,0,0,0,0,0,0
136,1205126,8,2731811,3,3164620,5,3130564,1,3013216,3,3167303,1,3052748,6,1204091,3,2405711,1,3187697,0,0,0,0,0,0,0,0,0,0
137,1212406,13,2731917,3,3164755,6,3130606,1,3015824,1,3167978,1,3052876,1,1205126,155,2411740,5,3182770,0,0,0,0,0,0,0,0,0,0
138,1238344,11,2736031,7,3165114,6,3132354,7,3026985,2,3167996,1,3052899,1,1212406,8,2416435,1,3182651,0,0,0,0,0,0,0,0,0,0
139,1240125,136,2736552,3,3165140,1,3133139,1,3036575,1,3169857,3,3053484,3,1238344,20,2420366,1,3180602,0,0,0,0,0,0,0,0,0,0
140,1241940,1,2745886,1,3165427,1,3133361,1,3038237,2,3172050,1,3054031,3,1240125,107,2421481,3,3179052,0,0,0,0,0,0,0,0,0,0
141,1267783,1,2748806,1,3165691,1,3133698,1,3041402,1,3173005,4,3054952,14,1266148,6,2422637,1,3178578,0,0,0,0,0,0,0,0,0,0
142,1268422,1,2765803,4,3166154,2,3134714,1,3045396,3,3174315,3,3057742,2,1267720,62,2428701,1,3177926,0,0,0,0,0,0,0,0,0,0
143,1268797,1,2775492,2,3166280,1,3135108,6,3052748,1,3176898,2,3058240,42,1267783,2,2442746,1,3177523,0,0,0,0,0,0,0,0,0,0
144,1274681,12,2782248,5,3166837,3,3135109,1,3054031,7,3177785,1,3058646,2,1274681,16,2448444,1,3177460,0,0,0,0,0,0,0,0,0,0
145,1300037,77,2785943,1,3167030,3,3135125,1,3054952,1,3179676,2,3060741,4,1286528,2,2450102,6,3175893,0,0,0,0,0,0,0,0,0,0
146,1343289,2,2786979,6,3167097,1,3135303,1,3057742,5,3182530,4,3065507,1,1300037,116,2450509,2,3175690,0,0,0,0,0,0,0,0,0,0
147,1348454,8,2802127,6,3167303,2,3140948,2,3058143,1,3187222,1,3068252,1,1309794,10,2456330,4,3175567,0,0,0,0,0,0,0,0,0,0
148,1349593,1,2803338,1,3167978,1,3141000,1,3058240,8,3193539,1,3068394,3,1325096,2,2457305,2,3174291,0,0,0,0,0,0,0,0,0,0
149,1366129,24,2804762,1,3167996,1,3141423,1,3058646,2,3194137,2,3069355,5,1343065,3,2457327,1,3171983,0,0,0,0,0,0,0,0,0,0
150,1368785,18,2806620,4,3168031,1,3143339,8,3059244,1,3196505,3,3070615,1,1343289,42,2467462,1,3171954,0,0,0,0,0,0,0,0,0,0
151,1375865,1,2809719,1,3168117,2,3146008,1,3059657,6,3197820,1,3071947,6,1348454,12,2476834,1,3171680,0,0,0,0,0,0,0,0,0,0
152,1377157,2,2817428,2,3168369,2,3146043,27,3063008,1,3203998,1,3072667,2,1366129,16,2481169,1,3171679,0,0,0,0,0,0,0,0,0,0
153,1383184,22,2821780,1,3168893,2,3146984,3,3065507,1,3207721,2,3073634,1,1368785,14,2489940,1,3168435,0,0,0,0,0,0,0,0,0,0
154,1393832,1,2832579,1,3169448,1,3147848,1,3067542,2,3208854,1,3073646,1,1375865,2,2490967,1,3167129,0,0,0,0,0,0,0,0,0,0
155,1397304,9,2833782,1,3169619,6,3148517,1,3069355,11,3209549,1,3075409,3,1377157,6,2500053,1,3164861,0,0,0,0,0,0,0,0,0,0
156,1405754,1,2844322,4,3169702,1,3148721,4,3069666,5,3214944,1,3075549,1,1380611,6,2502674,34,3163827,0,0,0,0,0,0,0,0,0,0
157,1407620,10,2846976,2,3169857,2,3148914,16,3072667,1,3217716,1,3077118,1,1383184,24,2508904,6,3163347,0,0,0,0,0,0,0,0,0,0
158,1408513,1,2848610,4,3169911,2,3148969,1,3073646,1,3226920,1,3077743,1,1393832,14,2522965,2,3162992,0,0,0,0,0,0,0,0,0,0
159,1413451,1,2864598,2,3170806,4,3149459,1,3073793,2,3231885,1,3079972,12,1397304,2,2524208,3,3162984,0,0,0,0,0,0,0,0,0,0
160,1415036,1,2865216,2,3171785,6,3149573,1,3074953,2,3233357,1,3080040,1,1405754,26,2524284,3,3162243,0,0,0,0,0,0,0,0,0,0
161,1416822,26,2882036,4,3172041,2,3149921,1,3079205,1,3234277,2,3080415,2,1407620,28,2525618,1,3161894,0,0,0,0,0,0,0,0,0,0
162,1425512,17,2884439,1,3172050,4,3149975,1,3079861,1,3236408,14,3080587,9,1408513,2,2528081,2,3161880,0,0,0,0,0,0,0,0,0,0
163,1429642,6,2894172,5,3173005,2,3150004,1,3080415,1,3251598,2,3080976,1,1413451,29,2530004,2,3160657,0,0,0,0,0,0,0,0,0,0
164,1432899,3,2902847,3,3173142,1,3150069,1,3080587,1,3260051,1,3081659,2,1415036,12,2536387,1,3160602,0,0,0,0,0,0,0,0,0,0
165,1438279,25,2905860,2,3173146,1,3150204,1,3082416,2,,,3082374,4,1416822,189,2538026,1,3160107,0,0,0,0,0,0,0,0,0,0
166,1446442,3,2909232,1,3174315,2,3150822,5,3083798,2,,,3082416,1,1425512,72,2540282,1,3159377,0,0,0,0,0,0,0,0,0,0
167,1451125,5,2912440,1,3174629,1,3151120,1,3084119,1,,,3082459,1,1432899,6,2544215,1,3159344,0,0,0,0,0,0,0,0,0,0
168,1462760,1,2913561,2,3175565,1,3151808,5,3084244,2,,,3082578,10,1438279,191,2550828,3,3158647,0,0,0,0,0,0,0,0,0,0
169,1478498,7,2913745,2,3176172,1,3152111,1,3085737,1,,,3084244,1,1446442,21,2551074,5,3158578,0,0,0,0,0,0,0,0,0,0
170,1487178,13,2915552,1,3176727,1,3152336,1,3086086,1,,,3085854,1,1451125,2,2551236,1,3158419,0,0,0,0,0,0,0,0,0,0
171,1490659,2,2919265,5,3176898,3,3153927,2,3086524,2,,,3087231,1,1462760,32,2558976,1,3157596,0,0,0,0,0,0,0,0,0,0
172,1496796,5,2940630,1,3177322,10,3154177,7,3087120,1,,,3088089,2,1496796,12,2565053,3,3156945,0,0,0,0,0,0,0,0,0,0
